subject,accuracy
1,90.83
2,74.17
3,58.33
4,43.33
5,51.67
6,58.33
7,60.00
8,64.17
9,48.33
10,49.17
11,49.17
12,39.17
13,59.17
14,72.50
15,86.67
16,77.50
17,66.67
18,60.83
19,33.33
20,94.17
21,53.33
22,48.33
23,79.17
24,94.17
25,80.00
26,39.17
27,47.50
28,72.50
29,50.00
30,86.67
31,71.67
32,37.50
33,70.83
34,39.17
35,61.67
36,60.83
37,78.33
38,66.67
39,30.00
40,87.50
41,63.33
42,48.33
43,60.83
44,50.00
45,39.17
46,88.33
47,74.17
48,40.00
49,60.83
50,61.67
51,75.00
52,87.50
53,45.00
54,60.83
55,81.67
56,44.17
57,61.67
58,50.83
59,65.83
60,65.83
61,49.17
62,45.00
63,48.33
64,45.83
65,50.00
66,51.67
67,86.67
68,94.17
69,55.00
70,33.33
71,36.67
72,53.33
73,23.33
74,41.67
75,41.67
76,59.17
77,38.33
78,45.83
79,40.83
80,44.17
81,31.67
82,96.67
83,87.50
84,65.00
85,85.00
86,70.83
87,71.67
88,71.67
89,75.00
90,91.67
91,66.67
92,54.17
93,77.50
94,62.50
95,80.83
96,76.67
97,40.83
98,60.00
99,81.67
100,96.67
mean,61.46
std,18.01
